資源彙整機關,收容所編號,收容所名稱,收容所鄉鎮市區,收容所村里,地址,管理人,連絡電話,收容人數,X坐標,Y坐標,備註,最後更新時間,,,,,
花蓮縣政府,,吉安國小,吉安鄉,,花蓮縣吉安鄉吉安村吉安路二段97號,,03-8523126-167,,307273.612,2652193.274,,20201001,,,,,
花蓮縣政府,,仁安活動中心,吉安鄉,,花蓮縣吉安鄉仁安村南海三街71號,,03-8523126-167,,310741.944,2649797.544,,20201001,,,,,
花蓮縣政府,,勝安活動中心,吉安鄉,,花蓮縣吉安鄉勝安村慈惠一街30號,,03-8523126-167,,309695.11,2652435.82,,20201001,,,,,
花蓮縣政府,,南華活動中心,吉安鄉,,花蓮縣吉安鄉南華村南華四街123號,,03-8523126-167,,306122.558,2649906.555,,20201001,,,,,
花蓮縣政府,,太昌活動中心,吉安鄉,,花蓮縣吉安鄉太昌村太昌路488號,,03-8523126-167,,307376.934,2654433.405,,20201001,,,,,
花蓮縣政府,,永安活動中心,吉安鄉,,花蓮縣吉安鄉永安村太昌路488號,,03-8523126-167,,308096.98,2654027.94,,20201001,,,,,
花蓮縣政府,,宜昌活動中心,吉安鄉,,花蓮縣吉安鄉宜昌村吉祥六街52巷9號,,03-8523126-167,,309355.206,2652457.3,,20201001,,,,,
花蓮縣政府,,南昌活動中心,吉安鄉,,花蓮縣吉安鄉南昌村文化七街64號,,03-8523126-167,,309003.5,2651862.42,,20201001,,,,,
花蓮縣政府,,慶豐活動中心,吉安鄉,,花蓮縣吉安鄉慶豐村慶北一街237號,,03-8523126-167,,307376.608,2653175.231,,20201001,,,,,
花蓮縣政府,,吉安活動中心,吉安鄉,,花蓮縣吉安鄉吉安村中興路355巷7號,,03-8523126-167,,307402.597,2652197.648,,20201001,,,,,
花蓮縣政府,,福興活動中心,吉安鄉,,花蓮縣吉安鄉福興村福德街1號,,03-8523126-167,,307242.354,2651727.88,,20201001,,,,,
花蓮縣政府,,干城活動中心,吉安鄉,,花蓮縣吉安鄉干城村干城一街97巷1號,,03-8523126-167,,305468.722,2649301.386,,20201001,,,,,
花蓮縣政府,,仁里活動中心,吉安鄉,,花蓮縣吉安鄉仁里村仁里五街1號,,03-8523126-167,,310295.306,2651653.477,,20201001,,,,,
花蓮縣政府,,稻香活動中心,吉安鄉,,花蓮縣吉安鄉稻香村慶豐路79號,,03-8523126-167,,308535.615,2651265.444,,20201001,,,,,
花蓮縣政府,,永興活動中心,吉安鄉,,花蓮縣吉安鄉永興村永興七街86號,,03-8523126-167,,307842.688,2650158.984,,20201001,,,,,
花蓮縣政府,,北昌活動中心,吉安鄉,,花蓮縣吉安鄉南華村南華四街123號,,03-8523126-167,,306122.558,2649906.555,,20201001,,,,,
花蓮縣政府,,仁和活動中心,吉安鄉,,花蓮縣吉安鄉仁和村南海三街314號,,03-8523126-167,,309806.139,2650304.973,,20201001,,,,,
花蓮縣政府,,東昌活動中心,吉安鄉,,花蓮縣吉安鄉東昌村東海六街74號,,03-8523126-167,,310641.386,2651358.768,,20201001,,,,,
花蓮縣政府,,光華活動中心,吉安鄉,,花蓮縣吉安鄉光華村光華二街200號,,03-8523126-167,,308752.84,2647790.341,,20201001,,,,,
花蓮縣政府,,文蘭活動中心,秀林鄉,,花蓮縣秀林鄉文蘭村6鄰79號,,03-8612116,,301586.456,2649342.389,,20201001,,,,,
花蓮縣政府,,水源收容所,秀林鄉,,花蓮縣秀林鄉水源村107號,,03-8612116,,306521.27,2655475.52,,20201001,,,,,
花蓮縣政府,,秀林國小收容所,秀林鄉,,花蓮縣秀林鄉秀林村秀林路76號,,03-8612116,,313472.97,2668233.59,,20201001,,,,,
花蓮縣政府,,佳民國小收容所,秀林鄉,,花蓮縣秀林鄉佳民村119號,,03-8612116,,310958.042,2661126.096,,20201001,,,,,
花蓮縣政府,,和平活動中心,秀林鄉,,花蓮縣秀林鄉和平村三鄰108號,,03-8612116,,325978.334,2689313.182,,20201001,,,,,
花蓮縣政府,,和平國小,秀林鄉,,花蓮縣秀林鄉和平村和平112號,,03-8612116-319,,,,,20201001,,,,,
花蓮縣政府,,崇德國小收容所,秀林鄉,,花蓮縣秀林鄉崇德村72號,,03-8612116,,316495.437,2673913.389,,20201001,,,,,
花蓮縣政府,,富世活動中心,秀林鄉,,花蓮縣秀林鄉富世村97號,,03-8612116,,,,,20201001,,,,,
花蓮縣政府,,景美活動中心,秀林鄉,,花蓮縣秀林鄉景美村加灣106號,,03-8612116,,311690.404,2664292.467,,20201001,,,,,
花蓮縣政府,,銅門收容所,秀林鄉,,花蓮縣秀林鄉銅門村9鄰53號,,03-8612116,,301220.921,2650853.097,,20201001,,,,,
花蓮縣政府,,太平國小,卓溪鄉,,花蓮縣卓溪鄉太平村1鄰2號,,03-8841359,,282755.869,2589281.135,,20201001,,,,,
花蓮縣政府,,古風國小,卓溪鄉,,花蓮縣卓溪鄉古風村崙天18號,,03-8846058,,277247.692,2568736.121,,20201001,,,,,
花蓮縣政府,,大陳二村活動中心,花蓮市,,花蓮縣花蓮市民意里民光483-1號,,03-8322141,,312722.782,2654938.652,,20201001,,,,,
花蓮縣政府,,中正國小,花蓮市,,花蓮縣花蓮市主學里中正路210號,,03-8322141,,311029.635,2652017.583,,20201001,,,,,
花蓮縣政府,,中正體育館,花蓮市,,花蓮縣花蓮市民權里公園路53號,,03-8322141,,312502.355,2652726.06,,20201001,,,,,
花蓮縣政府,,中原國小文中三國中預定地,花蓮市,,花蓮縣花蓮市主權里中原路531號,,03-8322141,,310697.579,2652024.363,,20201001,,,,,
花蓮縣政府,,中華國小,花蓮市,,花蓮縣花蓮市國盛里國盛二街22號,,03-8322141,,311766.258,2654266.179,,20201001,,,,,
花蓮縣政府,,主農社區活動中心,花蓮市,,花蓮縣花蓮市主農里中順街77號,,03-8322141,,310735.163,2651695.11,,20201001,,,,,
花蓮縣政府,,主權社區活動中心,花蓮市,,花蓮縣花蓮市主權里中原路666號,,03-8322141,,310427.641,2652462.775,,20201001,,,,,
花蓮縣政府,,民孝社區活動中心,花蓮市,,花蓮縣花蓮市民孝里林園一街16號,,03-8322141,,314202.864,2655408.037,,20201001,,,,,
花蓮縣政府,,自強國中,花蓮市,,花蓮縣花蓮市國裕里裕祥路89號,,03-8322141,,310951.231,2654923.074,,20201001,,,,,
花蓮縣政府,,行政院國軍退除役官兵輔導委員會花,花蓮市,,花蓮縣花蓮市民意里府前路29號,,03-8225178,,312892.953,2655354.562,,20201001,,,,,
花蓮縣政府,,私立四維高級中學,花蓮市,,花蓮縣花蓮市國慶里中山路1段200號,,03-8322141,,310186.527,2655194.917,,20201001,,,,,
花蓮縣政府,,忠孝國小,花蓮市,,花蓮縣花蓮市主力里中華路298號,,03-8322141,,310918.692,2652455.626,,20201001,,,,,
花蓮縣政府,,明廉國小,花蓮市,,花蓮縣花蓮市國富里中山路903號,,03-8322141,,310510.667,2654597.873,,20201001,,,,,
花蓮縣政府,,明義國小,花蓮市,,花蓮縣花蓮市國風里明義街107號,,03-8322141,,311350.64,2652825.71,,20201001,,,,,
花蓮縣政府,,花蓮市公所,花蓮市,,花蓮縣花蓮市國威里林森路252號,,03-8322141,,311747.624,2653169.904,,20201001,,,,,
花蓮縣政府,,花蓮城隍廟香客大樓,花蓮市,,花蓮縣花蓮市主睦里成功街169號,,03-8322141,,311644.542,2652206.518,,20201001,,,,,
花蓮縣政府,,花蓮高工,花蓮市,,花蓮縣花蓮市民意里府前路27號,,03-8322141,,313073.196,2655019.921,,20201001,,,,,
花蓮縣政府,,花蓮高商,花蓮市,,花蓮縣花蓮市國安里中山路418號,,03-8322141,,311304.406,2653661.654,,20201001,,,,,
花蓮縣政府,,花蓮港天宮,花蓮市,,花蓮縣花蓮市國慶里中山路1段500巷15號,,03-8322141,,309742.985,2655992.113,,20201001,,,,,
花蓮縣政府,,花蓮縣立體育場,花蓮市,,花蓮縣花蓮市國慶里達固湖灣大路23號,,03-8322141,,309562.573,2655539.988,,20201001,,,,,
花蓮縣政府,,南美崙營區,花蓮市,,花蓮縣花蓮市民勤里新興路80號,,03-8322141,,312606.078,2653791,,20201001,,,,,
花蓮縣政府,,美崙國中,花蓮市,,花蓮縣花蓮市民孝里化道路40巷1號,,03-8322141,,313865.592,2654925.303,,20201001,,,,,
花蓮縣政府,,國立花蓮農業職業學校,花蓮市,,花蓮縣花蓮市國魂里建國路161號,,03-8322141,,277385.26,2577031.47,,20201001,,,,,
花蓮縣政府,,國風國中,花蓮市,,花蓮縣花蓮市國風里林政街7號,,03-8322141,,310585.428,2652767.648,,20201001,,,,,
花蓮縣政府,,國福社區活動中心,花蓮市,,花蓮縣花蓮市國福里沙基拉雅街111號,,03-8322141,,309195.705,2656294.575,,20201001,,,,,
花蓮縣政府,,慈濟大學人文社會學院,花蓮市,,花蓮縣花蓮市國興里介仁街67號,,03-8322141,,308336.277,2655103.279,,20201001,,,,,
花蓮縣政府,,"慈濟大學附設國民中學,小學",花蓮市,,花蓮縣花蓮市國興里介仁街176號,,03-8322141,,308459.956,2654814.731,,20201001,,,,,
花蓮縣政府,,鑄強國小,花蓮市,,花蓮縣花蓮市民政里永興路20號,,03-8322141,,313647.49,2654368.716,,20201001,,,,,
花蓮縣政府,,卓溪國小,卓溪鄉,,花蓮縣卓溪鄉卓溪村7鄰72號,,,,281011.92,2582607.099,,20201001,,,國立花蓮農業職業學校,310947.91,2653334.39
花蓮縣政府,,卓樂國小,卓溪鄉,,花蓮縣卓溪鄉卓清村12鄰卓樂86號,,,,277385.26,2577031.47,,20201001,,,國風國中,310585.428,2652767.648
花蓮縣政府,,崙山國小,卓溪鄉,,花蓮縣卓溪鄉崙山村1鄰12號,,,,285176.706,2592951.685,,20201001,,,國福社區活動中心,309195.705,2656294.576
花蓮縣政府,,永豐社區活動中心,富里鄉,,花蓮縣富里鄉永豐村永豐10鄰20-1號,,03-8831111,,276514.344,2563956.25,,20201001,,,慈濟大學人文社會學院,308336.278,2655103.279
花蓮縣政府,,玉寶宮,富里鄉,,花蓮縣富里鄉富南村富南村4鄰42-1號,,03-8831111,,274427.905,2562037.859,,20201001,,,"慈濟大學附設國民中學,小學",308459.956,2654814.732
花蓮縣政府,,石牌社區活動中心,富里鄉,,花蓮縣富里鄉石牌村8鄰富北34-2號,,03-8831111,,277057.38,2565652.756,,20201001,,,,,
花蓮縣政府,,吳江社區活動中心,富里鄉,,花蓮縣富里鄉吳江村6鄰吳江65-3號,,03-8831111-155,,282947.219,2575320.029,,20201001,,,,,
花蓮縣政府,,明里社區活動中心,富里鄉,,花蓮縣富里鄉明里村3鄰明里37號,,03-8831111,,275820.198,2566430.57,,20201001,,,,,
花蓮縣政府,,東里社區活動中心,富里鄉,,花蓮縣富里鄉東里村1鄰福安路6-1號,,03-8831111,,281223.369,2573915.637,,20201001,,,,,
花蓮縣政府,,富里老人文康中心,富里鄉,,花蓮縣富里鄉富里村中山路205號,,03-38831111,,275515.468,2564094.5,,20201001,,,,,
花蓮縣政府,,富里鄉公所2樓,富里鄉,,花蓮縣富里鄉富里村中山路376號,,03-883111,,275623.525,2564175.637,,20201001,,,,,
花蓮縣政府,,新興竹田聯合社區活動中心,富里鄉,,花蓮縣富里鄉竹田村1鄰東竹10號,,03-8831111,,278858.858,2568721.97,,20201001,,,,,
花蓮縣政府,,萬寧社區活動中心,富里鄉,,花蓮縣富里鄉萬寧村7鄰鎮寧100號,,03-8831111-155,,280516.25,2572107,,20201001,,,,,
花蓮縣政府,,豐南社區活動中心,富里鄉,,花蓮縣富里鄉豐南村豐南7鄰12-3號,,03-8831111,,277469.793,2560181.675,,20201001,,,,,
花蓮縣政府,,羅山縱管處,富里鄉,,花蓮縣富里鄉羅山村9鄰東湖39號,,03-8831111,,278159.24,2566676.16,,20201001,,,,,
花蓮縣政府,,七星潭社區活動中心,新城鄉,,花蓮縣新城鄉大漢村明潭街27號,,03-8267223,,314063.64,2658162.906,,20201001,,,,,
花蓮縣政府,,大漢社區活動中心,新城鄉,,花蓮縣新城鄉大漢村19鄰民有街101號,,03-8267223,,312043.639,2659235.353,,20201001,,,,,
花蓮縣政府,,天主教聲遠之家,新城鄉,,花蓮縣新城鄉新城村博愛路31號,,03-8610075,,316203.292,2669198.897,,20201001,,,,,
花蓮縣政府,,北三棧社區活動中心,新城鄉,,花蓮縣新城鄉順安村順安52-2號,,03-8267223,,313163.343,2666825.796,,20201001,,,,,
花蓮縣政府,,北埔社區活動中心,新城鄉,,花蓮縣新城鄉北埔村北埔路259號,,03-8267223,,311364.758,2658921.212,,20201001,,,,,
花蓮縣政府,,佳林社區活動中心,新城鄉,,花蓮縣新城鄉佳林村民有2街29號,,03-8267223,,311190.569,2657525.421,,20201001,,,,,
花蓮縣政府,,國軍805醫院,新城鄉,,花蓮縣新城鄉嘉里村嘉里路163號,,03-8263151,,311786.947,2657861.941,,20201001,,,,,
花蓮縣政府,,基督教芥菜種會,新城鄉,,花蓮縣新城鄉北埔村北埔路13號,,03-8260653,,311665.423,2658197.127,,20201001,,,,,
花蓮縣政府,,康樂社區活動中心,新城鄉,,花蓮縣新城鄉康樂村廣安1街112號,,03-8267223,,312027.5,2661117.918,,20201001,,,,,
花蓮縣政府,,復興南營區,新城鄉,,花蓮縣新城鄉大漢村民有街2號,,03-8269732,,312237.653,2659370.313,,20201001,,,,,
花蓮縣政府,,順安農宅示範中心,新城鄉,,花蓮縣新城鄉順安村草林158號,,03-8267223,,314658.962,2668079.733,,20201001,,,,,
花蓮縣政府,,新城社區活動中心,新城鄉,,花蓮縣新城鄉新城村博愛路66號,,03-8267223,,316064.896,2669489.449,,20201001,,,,,
花蓮縣政府,,新城鄉立圖書館,新城鄉,,花蓮縣新城鄉大漢村光復路572號,,03-8261790,,311455.741,2659578.72,,20201001,,,,,
花蓮縣政府,,新城鄉原住民文化館,新城鄉,,花蓮縣新城鄉大漢村大安街1號,,03-8267223,,311512.989,311512.989,,20201001,,,,,
花蓮縣政府,,嘉里社區活動中心,新城鄉,,花蓮縣新城鄉嘉里村嘉里2路20巷31號,,03-8267223,,311887.988,2657076.458,,20201001,,,,,
花蓮縣政府,,嘉新社區活動中心,新城鄉,,花蓮縣新城鄉嘉新村6鄰嘉南一街43巷5號,,03-8267223,,312289.644,2655764.153,,20201001,,,,,
花蓮縣政府,,衛生福利部東區老人之家養護院區,新城鄉,,花蓮縣新城鄉嘉新村嘉南路2巷13號,,03-8222831,,312471.373,2655435.931,,20201001,,,,,
花蓮縣政府,,樹林腳社區活動中心,新城鄉,,花蓮縣新城鄉北埔村樹林街57巷9號,,03-8267223,,310795.397,2659657.856,,20201001,,,,,
花蓮縣政府,,興田社區活動中心,新城鄉,,花蓮縣新城鄉新城村新興一街62號,,03-8267223,,315579.951,2669585.742,,20201001,,,,,
花蓮縣政府,,禪光育幼院,新城鄉,,花蓮縣新城鄉新城村仁愛路2巷172號,,03-8612555,,316136.375,2669148.764,,20201001,,,,,
花蓮縣政府,,奇美社區活動中心,瑞穗鄉,,花蓮縣瑞穗鄉奇美村2鄰40號,,03-8872222-128,,295669.001,2599224.312,,20201001,,,,,
花蓮縣政府,,花蓮縣立瑞穗國民中學,瑞穗鄉,,花蓮縣瑞穗鄉瑞穗村成功北路18號,,03-8873111,,288388.595,2599504.623,,20201001,,,,,
花蓮縣政府,,花蓮縣瑞穗鄉瑞美國民小學,瑞穗鄉,,花蓮縣瑞穗鄉瑞美村中山路二段389號,,03-8872014,,289993.917,2598943.632,,20201001,,,,,
花蓮縣政府,,花蓮縣鶴岡國民小學,瑞穗鄉,,花蓮縣瑞穗鄉鶴岡村167 號,,03-8872740,,289846.462,2602343.871,,20201001,,,,,
花蓮縣政府,,富民社區活動中心,瑞穗鄉,,花蓮縣瑞穗鄉富民村2鄰中正路一段208之1號,,03-8872222-128,,288222.776,2607925.902,,20201001,,,,,
花蓮縣政府,,富源社區活動中心,瑞穗鄉,,花蓮縣瑞穗鄉富源村10鄰學士路31號,,03-8872222-128,,288366.761,2608295.012,,20201001,,,,,
花蓮縣政府,,富源消防分隊,瑞穗鄉,,花蓮縣瑞穗鄉富源村9鄰中正路157號,,03-8811885,,288414.632,2608317.565,,20201001,,,,,
花蓮縣政府,,富興社區活動中心,瑞穗鄉,,花蓮縣瑞穗鄉富興村13鄰東興路134號,,03-8872222-128,,289572.023,2608751.737,,20201001,,,,,
花蓮縣政府,,瑞北社區活動中心,瑞穗鄉,,花蓮縣瑞穗鄉瑞北村4鄰祥北路一段54之1號,,03-8872222-128,,288442.064,2602654.734,,20201001,,,,,
花蓮縣政府,,瑞北國民小學,瑞穗鄉,,花蓮縣瑞穗鄉瑞北村中正北路二段三五號,,03-8811184,,,,,20201001,,,,,
花蓮縣政府,,瑞良社區活動中心,瑞穗鄉,,花蓮縣瑞穗鄉瑞良村4鄰信義路3號,,03-8872222-128,,290246.067,2598863.469,,20201001,,,,,
花蓮縣政府,,瑞美社區活動中心,瑞穗鄉,,花蓮縣瑞穗鄉瑞美村13鄰中山路二段387號,,03-8872222-128,,289952.812,2599003.119,,20201001,,,,,
花蓮縣政府,,瑞祥社區活動中心,瑞穗鄉,,花蓮縣瑞穗鄉瑞祥村4鄰祥北路二段127號,,03-8872222-128,,286646.009,2599679.003,,20201001,,,,,
花蓮縣政府,,瑞穗社區活動中心,瑞穗鄉,,花蓮縣瑞穗鄉瑞穗村14鄰民生街41號,,03-8872222-1278,,288685.95,2599689.28,,20201001,,,,,
花蓮縣政府,,瑞穗青蓮寺,瑞穗鄉,,花蓮縣瑞穗鄉瑞美村仁愛路109號,,03-8872128,,,,,20201001,,,,,
花蓮縣政府,,舞鶴社區活動中心,瑞穗鄉,,花蓮縣瑞穗鄉舞鶴村14鄰中正南路二段278號,,03-8872222-1278,,286121.196,2595290.39,,20201001,,,,,
花蓮縣政府,,文化中心,壽豐鄉,,花蓮縣壽豐鄉壽豐村公園路30號,,03-8652131,,,,,20201001,,,,,
花蓮縣政府,,月眉活動中心,壽豐鄉,,花蓮縣壽豐鄉月眉村月眉路三段108號,,03-8652131,,305798.353,2639672.328,,20201001,,,,,
花蓮縣政府,,月眉國小,壽豐鄉,,花蓮縣壽豐鄉月眉村月眉路3段24號,,03-8631011,,305798.353,2639672.328,,20201001,,,,,
花蓮縣政府,,月眉國小-米棧分校,壽豐鄉,,花蓮縣壽豐鄉米棧村米棧路一段53號,,03-8741270,,,,,20201001,,,,,
花蓮縣政府,,水璉活動中心,壽豐鄉,,花蓮縣壽豐鄉水璉村水璉二街21號,,03-8652131,,307544.987,2631046.845,,20201001,,,,,
花蓮縣政府,,平和活動中心,壽豐鄉,,花蓮縣壽豐鄉平和村平和路32號,,03-8652131,,302920.993,2642240.665,,20201001,,,,,
花蓮縣政府,,光榮活動中心,壽豐鄉,,花蓮縣壽豐鄉光榮村光榮1街26之1號,,03-8652131,,302371.503,2642017.307,,20201001,,,,,
花蓮縣政府,,鶴岡社區活動中心,瑞穗鄉,,花蓮縣瑞穗鄉鶴岡村14鄰85之6號,,03-8872222-128,,303083.461,2640149.09,,20201001,,,,,
花蓮縣政府,,共和活動中心,壽豐鄉,,花蓮縣壽豐鄉共和村農墾2街38號,,03-8652131,,303083.461,2640149.09,,20201001,,,,,
花蓮縣政府,,池南活動中心,壽豐鄉,,花蓮縣壽豐鄉池南村池南路2段17號,,03-8652131,,301536.215,2646359.865,,20201001,,,,,
花蓮縣政府,,米棧活動中心,壽豐鄉,,花蓮縣壽豐鄉米棧村米棧路二段21號,,03-8652131,,,,,20201001,,,,,
花蓮縣政府,,西林天主堂,萬榮鄉,,花蓮縣萬榮鄉西林村7鄰103號,,03-8751321,,,,,20201001,,,,,
花蓮縣政府,,西林社區活動中心,萬榮鄉,,花蓮縣萬榮鄉西林村8鄰134號,,03-8751321,,295066.308,2634019.526,,20201001,,,,,
花蓮縣政府,,志學活動中心,壽豐鄉,,花蓮縣壽豐鄉志學村中正路120巷13號,,03-8652131,,304190.536,2644639.758,,20201001,,,,,
花蓮縣政府,,見晴老人館嵩林樓,萬榮鄉,,花蓮縣萬榮鄉見晴村7鄰75號,,03-8751321-41,,295895.46,2631117.84,,20201001,,,,,
花蓮縣政府,,見晴國民小學,萬榮鄉,,花蓮縣萬榮鄉見晴村7鄰89號,,03-8751321,,296060.67,2631155.19,,20201001,,,,,
花蓮縣政府,,明利社區活動中心,萬榮鄉,,花蓮縣萬榮鄉明利村2鄰34-8號,,03-8751321,,292046.31,2622387.9,,20201001,,,,,
花蓮縣政府,,紅葉社區活動中心,萬榮鄉,,花蓮縣萬榮鄉紅葉村1鄰9號,,03-8751321,,285199.724,2599243.904,,20201001,,,,,
花蓮縣政府,,馬遠社區活動中心,萬榮鄉,,花蓮縣萬榮鄉馬遠村1鄰5號,,03-8751321,,287019.799,287019.799,,20201001,,,,,
花蓮縣政府,,溪口活動中心,壽豐鄉,,花蓮縣壽豐鄉溪口村溪口路103巷2號,,03-8652131,,,,,20201001,,,,,
花蓮縣政府,,萬榮社區活動中心,萬榮鄉,,花蓮縣萬榮鄉萬榮村1鄰8號,,03-8751321,,301828.781,2640748.5,,20201001,,,,,
花蓮縣政府,,萬榮國中,萬榮鄉,,花蓮縣萬榮鄉萬榮村鳳林鎮長橋里長橋路1號,,03-8751264,,299067.66,2637089.45,,20201001,,,,,
花蓮縣政府,,萬榮鄉立幼兒園,萬榮鄉,,花蓮縣萬榮鄉明利村1鄰13-3號,,03-8751321,,300278.14,2638252.652,,20201001,,,,,
花蓮縣政府,,壽豐活動中心,壽豐鄉,,花蓮縣壽豐鄉壽豐村壽豐路1段97號,,03-8652131,,302005.987,2640724.839,,20201001,,,,,
花蓮縣政府,,壽豐鄉公所,壽豐鄉,,花蓮縣壽豐鄉壽豐村壽山路26號,,03-8654110,,301828.781,2640748.5,,20201001,,,,,
花蓮縣政府,,樹湖活動中心,壽豐鄉,,花蓮縣壽豐鄉樹湖村大樹腳59號,,03-8652131,,299067.66,2637089.45,,20201001,,,,,
花蓮縣政府,,豐山活動中心,壽豐鄉,,花蓮縣壽豐鄉豐山村中山路127巷15號,,03-8652131,,300278.14,2638252.652,,20201001,,,,,
花蓮縣政府,,豐山國小,壽豐鄉,,花蓮縣壽豐鄉豐山村中山路41號,,03-8651640,,300093.749,2638101.739,,20201001,,,,,
花蓮縣政府,,豐坪活動中心,壽豐鄉,,花蓮縣壽豐鄉豐坪村豐坪路2段73號,,03-8652131,,301914.582,2636855.82,,20201001,,,,,
花蓮縣政府,,豐裡活動中心,壽豐鄉,,花蓮縣壽豐鄉豐裡村中山路257號,,03-8652131,,301512.136,2637701.167,,20201001,,,,,
花蓮縣政府,,鹽寮活動中心,壽豐鄉,,花蓮縣壽豐鄉鹽寮村鹽寮165號,,03-8652131,,310407.414,2638359.015,,20201001,,,,,
花蓮縣政府,,八里灣基督長老教會,豐濱鄉,,花蓮縣豐濱鄉豐濱村16鄰豐里49之1號,,03-8791350-126,,299584.566,2607233.217,,20201001,,,,,
花蓮縣政府,,大榮1村社區活動中心,鳳林鎮,,花蓮縣鳳林鎮大榮里鳳林鎮大榮3路15號,,03-8762771-199,,296568.492,2626663.95,,20201001,,,,,
花蓮縣政府,,大榮2村社區活動中心,鳳林鎮,,花蓮縣鳳林鎮大榮里復興路69號,,03-8762771-199,,297665.53,2627673.056,,20201001,,,,,
花蓮縣政府,,北林3村社區活動中心,鳳林鎮,,花蓮縣鳳林鎮北林里民和路1號,,03-8762771-193,,298005.531,2629319.47,,20201001,,,,,
花蓮縣政府,,東興部落原住民多功能活動中心,豐濱鄉,,花蓮縣豐濱鄉新社村9鄰東興18-1號,,03-8791350-126,,304156.25,2614718.16,,20201001,,,,,
花蓮縣政府,,林榮社區活動中心,鳳林鎮,,花蓮縣鳳林鎮林榮里永康路54號,,03-8762771-193,,301517.865,2596913.963,,20201001,,,,,
花蓮縣政府,,長橋社區活動中心,鳳林鎮,,花蓮縣鳳林鎮長橋里長橋路4號,,03-8762771-199,,304665.578,2616578.913,,20201001,,,,,
花蓮縣政府,,南平社區活動中心,鳳林鎮,,花蓮縣鳳林鎮南平里自強路368-1號,,03-8762771-193,,296776.219,2631015.75,,20201001,,,,,
花蓮縣政府,,森榮里辦公處,鳳林鎮,,花蓮縣鳳林鎮森榮里林森路113-1號,,03-8762771-199,,290484.44,2623799.01,,20201001,,,,,
花蓮縣政府,,港口活動中心,豐濱鄉,,花蓮縣豐濱鄉港口村7鄰118號,,03-8791350-126,,301517.865,2596913.963,,20201001,,,,,
花蓮縣政府,,新社國小二樓綜合教室,豐濱鄉,,花蓮縣豐濱鄉新社村150號,,03-8791350-126,,304665.578,2616578.913,,20201001,,,,,
花蓮縣政府,,鳳仁社區活動中心,鳳林鎮,,花蓮縣鳳林鎮鳳仁里中華路111號,,03-8762771-199,,296080.447,2627385.64,,20201001,,,,,
花蓮縣政府,,鳳仁國小羽球館,鳳林鎮,,花蓮縣鳳林鎮鳳仁里鳳林鎮光復路94號,,03-8762771-199,,296057.799,2627545.529,,20201001,,,,,
花蓮縣政府,,鳳林國中進德堂,鳳林鎮,,花蓮縣鳳林鎮鳳智里鳳林鎮光復路8號,,03-8762771-199,,295702.422,2626958.057,,20201001,,,,,
花蓮縣政府,,鳳林鎮公所,鳳林鎮,,花蓮縣鳳林鎮鳳智里光華路124號,,03-8762771-199,,296053.831,2626825.699,,20201001,,,,,
花蓮縣政府,,鳳林鎮藝文中心暫停使用,鳳林鎮,,花蓮縣鳳林鎮鳳智里中正路2段1號,,03-8762771-199,,294610.72,2627400.171,,20201001,,,,,
花蓮縣政府,,鳳信社區活動中心,鳳林鎮,,花蓮縣鳳林鎮鳳信里中正路1段120巷24號,,03-8762771-199,,295202.538,2625160.628,,20201001,,,,,
花蓮縣政府,,鳳義社區活動中心,鳳林鎮,,花蓮縣鳳林鎮鳳義里鳳林鎮水源路56-2號,,03-8762771-193,,294610.719,2627400.171,,20201001,,,,,
花蓮縣政府,,"鳳禮,鳳智里活動中心",鳳林鎮,,花蓮縣鳳林鎮鳳智里大同街7-1號,,03-8762771-199,,295973.112,2626967.656,,20201001,,,,,
花蓮縣政府,,樂活會館,鳳林鎮,,花蓮縣鳳林鎮鳳智里中華路2號,,03-8762771-193,,,,,20201001,,,,,
花蓮縣政府,,靜浦國小大禮堂,豐濱鄉,,花蓮縣豐濱鄉靜浦村64號,,03-8791350-126,,300619.89,2595481.75,,20201001,,,,,
花蓮縣政府,,磯崎村辦公處活動中心,豐濱鄉,,花蓮縣豐濱鄉磯崎村71號,,03-8791350-126,,305802.19,2622883.78,,20201001,,,,,
花蓮縣政府,,豐濱國中禮堂,豐濱鄉,,花蓮縣豐濱鄉豐濱村光豐路26號,,03-8791350-126,,303233.687,2610941.65,,20201001,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
