災民收容所名稱,管理人電話,收容所縣市,收容所鄉鎮,收容所地址
汴洲老人活動中心,3469051,桃園市,桃園區,桃園區莊敬路1段71號
永康市民活動中心,"3375713
0952-702722",桃園市,桃園區,桃園區中正五街315號
三元忠義市民活動中心,3388263,桃園市,桃園區,桃園區三元街289號2樓
三民市民活動中心,3330301,桃園市,桃園區,桃園區中山東路128號
大林市民活動中心,"3639988
0953-610177",桃園市,桃園區,桃園區大原路31號
中山市民活動中心,"03-3611518
0915084928",桃園市,桃園區,桃園區國際路一段575號
中德市民活動中心,"3765858
0928-870198",桃園市,桃園區,桃園區國際路一段687巷61號
五中市民活動中心,2200639,桃園市,桃園區,桃園區中平路118號
文昌市民活動中心,0933952795,桃園市,桃園區,桃園區民族路110號 (三、四樓)
同安市民活動中心,3256272,桃園市,桃園區,桃園區新埔六街140號2樓
瑞慶市民活動中心(原同德市民活動中心),3021077,桃園市,桃園區,桃園區永安北路500號
西埔市民活動中心,0926395689,桃園市,桃園區,桃園區富國路681巷22號
汴洲市民活動中心,"3254919
0932096092",桃園市,桃園區,桃園區峨嵋二街26號
東埔市民活動中心,"3351772
0958564958",桃園市,桃園區,桃園區信光路55號
長青學苑,"3361367
0916816191",桃園市,桃園區,桃園區民權路32號7樓
青溪市民活動中心,"3357800
0906016094",桃園市,桃園區,桃園區鎮撫街41號
南門市民活動中心,"2188382
0923111706",桃園市,桃園區,桃園區三民路三段268號
建國雲林市民活動中心,"3610068
0933776908",桃園市,桃園區,桃園區建成街88號(一、二樓)
春日市民活動中心,"3179695
0927280888",桃園市,桃園區,桃園區至善街133號
桃園區公所禮堂,3346475,桃園市,桃園區,桃園區縣府路7號4樓
莊敬市民活動中心,"3347208
0972623868",桃園市,桃園區,桃園區新埔七街169巷13號
朝陽北門市民活動中心,"3378009
0916038412",桃園市,桃園區,桃園區朝陽街63號
陽明公園市民活動中心,"3710601
0910925355",桃園市,桃園區,桃園區介壽路199號
陽明綜合市民活動中心,"3772986
0921916766",桃園市,桃園區,桃園區陽明三街33號
新埔市民活動中心,0931553101,桃園市,桃園區,桃園區南通路65號
會稽市民活動中心,3347208、3464042,桃園市,桃園區,桃園區興一街65巷50號
福林市民活動中心,"3710601
0910-925355",桃園市,桃園區,桃園區東勇北路20號
龍岡市民活動中心,"03-3792560
0937-101388",桃園市,桃園區,桃園區國豐二街6號
寶興市民活動中心,"03-3267179
0920-472085",桃園市,桃園區,桃園區民有三街501號
新埔國小,"(03)3162972
＃513",桃園市,桃園區,桃園區經國路208巷36號
大業國小,"(03)3337771
＃511",桃園市,桃園區,桃園區大業路一段135號
建德國小,(03)3660688＃510,桃園市,桃園區,桃園區延平路265號
武陵高中,(03)3698170＃400,桃園市,桃園區,桃園區中山路889號
大有國小,(03)3577715＃510,桃園市,桃園區,桃園區大有路220號
大有國中,(03)2613297＃510,桃園市,桃園區,桃園區大有路215號
快樂國小,(03)3580001＃510,桃園市,桃園區,桃園區大有路789號
會稽國中,(03)3551496＃510,桃園市,桃園區,桃園區大興路222 號
會稽國小,(03)3252982＃510,桃園市,桃園區,桃園區春日路1080號
同安國小,(03)3269251＃511,桃園市,桃園區,桃園區同德11街48號
莊敬國小,(03)3020784＃510,桃園市,桃園區,桃園區莊一街107 號
同德國中,(03)2628955＃510,桃園市,桃園區,桃園區南平路487號
同德國小,(03)3176403＃531,桃園市,桃園區,桃園區同德六街175號
中埔國小,(03)3013028＃510,桃園市,桃園區,桃園區永安路1054號
經國國中,(03)3572699＃110,桃園市,桃園區,桃園區經國路276號
永順國小,(03)3024221＃510,桃園市,桃園區,桃園區永順街100號
慈文國中,(03)3269340＃510,桃園市,桃園區,桃園區中正路835號
慈文國小,(03)3175755＃510,桃園市,桃園區,桃園區新埔六街2號
北門國小,(03)3250959＃520,桃園市,桃園區,桃園區正康三街139號
文昌國中,(03)3552776＃510,桃園市,桃園區,桃園區民生路729號
桃園高中,(03)3946001＃6003,桃園市,桃園區,桃園區成功路三段38號
青溪國中,(03)3392400＃510,桃園市,桃園區,桃園區中山東路124號
青溪國小,(03)3347883＃510,桃園市,桃園區,桃園區自強路80號
東門國小,(03)3322057＃500,桃園市,桃園區,桃園區東國街14號
桃園國小,(03)3322268＃510,桃園市,桃園區,桃園區民權路67號
成功國小,(03)3322772＃511,桃園市,桃園區,桃園區三民路三段22號
桃園國中,(03) 3358282＃510,桃園市,桃園區,桃園區莒光街2號
西門國小,(03)3342351＃51,桃園市,桃園區,桃園區莒光街15號
南門國小,(03)3370576＃510,桃園市,桃園區,桃園區復興路303號
文山國小,(03)3601400＃511,桃園市,桃園區,桃園區文中路120號
中興國中,(03)3694315＃531,桃園市,桃園區,桃園區文中路122號
建國國小,(03)3636660＃510,桃園市,桃園區,桃園區昆明路95號
福豐國中,(03)3669547＃510,桃園市,桃園區,桃園區延平路326號
建國國中,(03)3630081＃510,桃園市,桃園區,桃園區介新街20號
陽明高中,(03)3645761＃102,桃園市,桃園區,桃園區德壽街8號
中山國小,(03)2203012＃560,桃園市,桃園區,桃園區國際路一段1070號
龍山國小,(03)3691253＃511,桃園市,桃園區,桃園區龍泉二街36號
建國公園,3396122#105,桃園市,桃園區,(桃鶯路、建成街交叉口)
陽明公園,3396122#105,桃園市,桃園區,桃園區長沙街十一號(介壽街、長沙街交叉口)
風禾公園,3396122#105,桃園市,桃園區,(慈文路、文中二路交叉口)
水秀公園,3396122#105,桃園市,桃園區,力行路、文中二路交叉
向陽公園,3396122#105,桃園市,桃園區,力行路、正光路交叉口
中壢松鶴會館,4271801#1508,桃園市,中壢區,"桃園市中壢區中央里元
化路182-2號 "
中壢婦幼館,4271801#1208,桃園市,中壢區,"桃園市中壢區五權里正
大街55號"
龍江市民活動中心,4385796,桃園市,中壢區,"桃園市中壢區龍安里龍
江路99號"
"華勛仁祥市民活動
中心",4658837,桃園市,中壢區,"桃園市中壢區仁祥里華
祥一街21號"
三里市民活動中心,4332872,桃園市,中壢區,"桃園市中壢區福德里光
華三街10號"
"大舊社市民活動中
心",4927198,桃園市,中壢區,"桃園市中壢區光明里新
民路223號"
自強市民活動中心,4556133,桃園市,中壢區,"桃園市中壢區自強里強
國路62號"
龍興市民活動中心,4573501,桃園市,中壢區,"桃園市中壢區龍興里龍
岡路三段37巷92弄102號"
中壢區公所,4271801#6036,桃園市,中壢區,"桃園市中壢區金華里環
北路380號"
中華市民活動中心,4628408,桃園市,中壢區,桃園市中壢區仁義里中 華路二段369-1號
"東興健行市民活動
中心",4287799,桃園市,中壢區,桃園市中壢區東興里中 北路二段76巷10號
洽溪市民活動中心 ,2870735,桃園市,中壢區,"桃園市中壢區洽溪里民
權路四段546號"
舊明市民活動中心,4912466,桃園市,中壢區,"桃園市中壢區舊明里義
民路70號"
龍岡市民活動中心,4504722,桃園市,中壢區,"桃園市中壢區龍岡里龍
岡路三段742號 "
水尾市民活動中心,4516152,桃園市,中壢區,"桃園市中壢區水尾里新
生路598巷22號"
復興復華市民活動 中心,"4520608
4630186",桃園市,中壢區,"桃園市中壢區復華里復
華街188號 "
文化市民活動中心,4524803,桃園市,中壢區,"桃園市中壢區文化里長
春三路2號1樓"
南園市民活動中心,4620141,桃園市,中壢區,"桃園市中壢區永福里南
園二路90號"
後寮市民活動中心 ,4563009,桃園市,中壢區,"桃園市中壢區後寮里龍
興路701巷21號"
過嶺市民活動中心,4986990,桃園市,中壢區,"桃園市中壢區過嶺里過
嶺里雙福路9號 "
芭里市民活動中心,2807666,桃園市,中壢區,桃園市中壢區芝芭里芝 芭里啟文路175號
月桃市民活動中心,4989986,桃園市,中壢區,桃園市中壢區月眉里月 眉里11鄰月桃路828號
山東市民活動中心,4986188,桃園市,中壢區,"桃園市中壢區山東里山
東路1010號"
內厝市民活動中心,4987975,桃園市,中壢區,"桃園市中壢區內厝里內
厝里月眉路一段2號"
新振市民活動中心,4598725,桃園市,中壢區,"桃園市中壢區振興里龍
岡路二段232號(龍崗國
小內)"
台貿市民活動中心,4650757,桃園市,中壢區,"桃園市中壢區中堅里台
貿一街100號"
中山市民活動中心,4632760,桃園市,中壢區,"桃園市中壢區中山里榮
民路396號"
元生市民活動中心,4554516,桃園市,中壢區,"桃園市中壢區忠孝里元
生二街126號"
青埔市民活動中心,4534849,桃園市,中壢區,桃園市中壢區領航南路 三段168號
新明國小,4933262＃510,桃園市,中壢區,桃園市中壢區中央西路二段97號
東興國中,4583500＃510,桃園市,中壢區,桃園市中壢區明德里廣州路25號
富台國小,4563335＃520,桃園市,中壢區,桃園市中壢區中山東路3段369號
華勛國小,4661587＃510,桃園市,中壢區,桃園市中壢區榮民南路205號
元生國小,4625566＃510,桃園市,中壢區,桃園市中壢區文化二路161號
內壢高中,4528080＃252,桃園市,中壢區,桃園市中壢區成章4街120號
內壢國小,4635888＃511,桃園市,中壢區,桃園市中壢區福德路20號
自強國中,4553494＃510,桃園市,中壢區,桃園市中壢區榮民路80號
興仁國小,4355753＃513,桃園市,中壢區,桃園市中壢區遠東路210號
信義國小,4573780＃510,桃園市,中壢區,桃園市中壢區成都路55號
龍岡國小,4588582＃510,桃園市,中壢區,桃園市中壢區龍岡路二段232號
龍興國中,4575200＃510,桃園市,中壢區,桃園市中壢區龍勇路100號
龍岡國中,4562137＃510,桃園市,中壢區,桃園市中壢區龍東路147號
中正國小,4559313＃511,桃園市,中壢區,桃園市中壢區榮民路369號
普仁國小,4563830＃511,桃園市,中壢區,桃園市中壢區中山東路二段425號
中原國小,4388200＃510,桃園市,中壢區,桃園市中壢區中北路88號
內定國小,4524624＃510,桃園市,中壢區,桃園市中壢區內定里定寧路31號
青埔國小,4531626＃510,桃園市,中壢區,桃園市中壢區青埔路二段122號
青埔國中,2871886＃510,桃園市,中壢區,桃園市中壢區領航北路2段281號
芭里國小,4228086＃510,桃園市,中壢區,桃園市中壢區啟文路233號
山東國小,4981323＃510,桃園市,中壢區,桃園市中壢區山東一路39號
興國國小,4258158＃510,桃園市,中壢區,桃園市中壢區元化路二段62號
中壢高商,4929871＃1601,桃園市,中壢區,桃園市中壢區中央西路二段141巷100號
中壢家商,4271627＃501,桃園市,中壢區,桃園市中壢區德育路36號
中壢國小,4255216＃510,桃園市,中壢區,桃園市中壢區延平路622號
林森國小,4579213＃510,桃園市,中壢區,桃園市中壢區林森路95號
大崙國中,4982840＃510,桃園市,中壢區,桃園市中壢區月眉路一段50號
大崙國小,4983424＃510,桃園市,中壢區,桃園市中壢區月眉里15鄰崇德路139號
過嶺國中,4200026＃511,桃園市,中壢區,桃園市中壢區過嶺里17鄰松智路2號
中平國小,4902025＃520,桃園市,中壢區,桃園市中壢區雙福路12號
新明國中,4936194＃511,桃園市,中壢區,桃園市中壢區中正路487巷18號
自立國小,4559130＃510,桃園市,中壢區,桃園市中壢區永福路1200號
內壢國中,4522494＃510,桃園市,中壢區,桃園市中壢區復華一街108號
忠福國小,4340192＃511,桃園市,中壢區,桃園市中壢區西園路57號
興南國中,4629991＃511,桃園市,中壢區,桃園市中壢區育英路55號
新街國小,4523202＃510,桃園市,中壢區,桃園市中壢區延平路176號
國立中央大學附屬中壢高級中學,4932181#11,桃園市,中壢區,桃園市中壢區三光路115號
國立中央大學,4227151#57251,桃園市,中壢區,桃園市中壢區中大路300號
中原大學,2651913,桃園市,中壢區,桃園市中壢區中北路200號
元智大學,4638800#2263,桃園市,中壢區,桃園市中壢區遠東路135號
健行學校財團法人健行科技大學,4581196#3674,桃園市,中壢區,桃園市中壢區健行路229號
萬能學校財團法人萬能科技大學,4515811#22400,桃園市,中壢區,桃園市中壢區萬能路1號
南亞科技學校財團法人南亞技術學院,4361070#5112,桃園市,中壢區,桃園市中壢區中山東路三段414號
中正公園,4271801#3114,桃園市,中壢區,桃園市中壢區元化路、中美路交叉口(中央里)
文化公園,4271801#3118,桃園市,中壢區,桃園市中壢區文化路、吉林路交叉口(文化里)
,,桃園市,,
北勢市民活動中心,03-4281848 ,桃園市,平鎮區,平鎮區北華里振平街153號
平鎮區婦幼活動中心,03-4572105#2205,桃園市,平鎮區,平鎮區廣達里廣成街10號
東勢市民活動中心 ,03-4500999,桃園市,平鎮區,平鎮區東勢里金陵路5段55號
平鎮區長青文康中心 ,03-4572105#2205,桃園市,平鎮區,平鎮區平南里開封街88號
福林第二市民活動中心,0939196226,桃園市,平鎮區,平鎮區福林里山子頂6號
北興市民活動中心,03-4679616,桃園市,平鎮區,平鎮區北興里金陵路2段353號
東社市民活動中心,0932322662,桃園市,平鎮區,平鎮區東社里圳南路50巷23號
高連市民活動中心,03-2810106,桃園市,平鎮區,平鎮區高雙里高雙路80號
獅子林市民活動中心,"03-4578357
03-4280811",桃園市,平鎮區,平鎮區北貴里大仁街46號
宋屋市民活動中心,0927195990,桃園市,平鎮區,平鎮區宋屋里廣泰路85號
莊敬市民活動中心,0920-981168,桃園市,平鎮區,平鎮區莊敬里自強街100號
文化市民活動中心,03-4023489,桃園市,平鎮區,平鎮區復興里復興街55號
湧光市民活動中心,0916813365,桃園市,平鎮區,平鎮區湧光里湧光路110號2樓
義興市民活動中心,03-4949243 ,桃園市,平鎮區,平鎮區義興里義興街80號
廣仁市民活動中心,0913363252,桃園市,平鎮區,平鎮區廣仁里新光路65巷50號
鎮興市民活動中心,03-4643456,桃園市,平鎮區,"平鎮區鎮興里中興路平鎮段
229號"
福林第三市民活動中心,0939196226,桃園市,平鎮區,"平鎮區福林里東豐路100巷
16號"
廣隆市民活動中心,0928208335,桃園市,平鎮區,"平鎮區復興里育達路二段94
號"
山子頂市民活動中心,03-4690091,桃園市,平鎮區,平鎮區湧安里麻園街2號
三安市民活動中心,03-4605346,桃園市,平鎮區,平鎮區新安里平東路203號
平鎮區公民會館,03-4599308,桃園市,平鎮區,平鎮區北勢里和平路52號
福林市民活動中心,0925277293,桃園市,平鎮區,平鎮區福林里東豐路326號
新勢市民活動中心,0933950600,桃園市,平鎮區,平鎮區新勢里延平路一段162號
南勢國小,03-4393724#511,桃園市,平鎮區,平鎮區中豐路南勢二段223號
平南國中,03-4392164#510 ,桃園市,平鎮區,平鎮區中豐路南勢二段340號
山豐國小,03-4691784#510,桃園市,平鎮區,平鎮區中豐路山頂段375巷45號
祥安國小,03-4192136#511,桃園市,平鎮區,平鎮區湧安路45號
義興國小,03-4913700#510,桃園市,平鎮區,平鎮區義興街55號
東勢國小,03-4504034#510,桃園市,平鎮區,平鎮區平東路一段185號
東安國中,03-4601407#510,桃園市,平鎮區,平鎮區平東路168號
東安國小,03-4509571#510,桃園市,平鎮區,平鎮區平東路136號
文化國小 ,03-4921750#510,桃園市,平鎮區,平鎮區文化街189號
平興國中,03-4918239#510,桃園市,平鎮區,平鎮區環南路300號
平興國小,03-4029323#511,桃園市,平鎮區,平鎮區平興里廣泰路168號
宋屋國小,03-4933654#510,桃園市,平鎮區,平鎮區延平路二段389號
平鎮國中,03-4572150#510,桃園市,平鎮區,平鎮區振興路2號
平鎮高中,4287288#510 ,桃園市,平鎮區,平鎮區環南路三段100號
北勢國小,4586472#510,桃園市,平鎮區,平鎮區金陵路二段330號
忠貞國小 ,4501450#510 ,桃園市,平鎮區,平鎮區龍南路315號
復旦國小,4917491#510,桃園市,平鎮區,平鎮區廣平街1號
新榮國小,2806200#520,桃園市,平鎮區,平鎮區中原路88號
中壢國中 ,4223214#511,桃園市,平鎮區,平鎮區延平路一段115號 
新勢國小,4937563#511,桃園市,平鎮區,平鎮區延平路一段181號
"國立臺北商業大學(桃
園校區) ","03-4506333#
8071",桃園市,平鎮區,平鎮區福龍路一段100號
復興親子公園,03-4572105#2384,桃園市,平鎮區,文化街、育達路二段交叉 口
新勢公園,03-4572105#2384,桃園市,平鎮區,中原路、延平路二段交叉 口
,,桃園市,,
八德社福館三樓,"3752690
0927038569",桃園市,八德區,八德區福國北街220號
青少年活動中心,"2180252
0932238691",桃園市,八德區,八德區興豐路2207號
大仁市民活動中心,3629076,桃園市,八德區,八德區桃和街36號
大安第一市民活動中心,"3660092
0922733123",桃園市,八德區,八德區和平路548號
大成市民活動中心,"3637816
0928122429",桃園市,八德區,八德區建國路1199號2樓
大竹市民活動中心,3715088,桃園市,八德區,八德區興豐路1823巷25號
大宏市民活動中心,3643932,桃園市,八德區,八德區公園路139號
大和市民活動中心,0970077098,桃園市,八德區,八德區建國路1076號
大明市民活動中心,0918267618,桃園市,八德區,八德區興隆街11巷8號
大勇市民活動中心,0933106958,桃園市,八德區,八德區自強街60號2樓
大強市民活動中心,0937961952,桃園市,八德區,八德區東勇街490巷288號
大智市民活動中心,0955437262,桃園市,八德區,八德區福國北街221號
大湳市民活動中心,3664806,桃園市,八德區,八德區和平路1189巷169號
大發市民活動中心,3628736,桃園市,八德區,八德區興豐路2175號
大義市民活動中心,0912513149,桃園市,八德區,八德區自強街60號2樓
大漢市民活動中心,0973712621,桃園市,八德區,八德區東勇一路51號
大福市民活動中心,"36622456
0937946870",桃園市,八德區,八德區桃德路476號
大興市民活動中心,0933252717,桃園市,八德區,八德區介壽路2段361巷96號
正福市民活動中心,0918248898,桃園市,八德區,八德區大福街29號
竹霄市民活動中心,0937959437 ,桃園市,八德區,八德區霄裡路12號
茄白市民活動中心,0917995945,桃園市,八德區,八德區永豐路170號
茄明市民活動中心,0910260737,桃園市,八德區,八德區中華路27號
高城市民活動中心,3692735,桃園市,八德區,八德區高城六街60號
瑞發市民活動中心,0938300288,桃園市,八德區,八德區瑞發街55號
瑞興市民活動中心,3682846,桃園市,八德區,八德區豐田路250號
廣德市民活動中心,0937112325,桃園市,八德區,八德區廣興路643號
龍友市民活動中心,0981362007,桃園市,八德區,八德區龍宮街36巷1號
霄裡國小,03-3651101#510,桃園市,八德區,八德區竹園里山下街115號
八德國小,03-3682943#510,桃園市,八德區,八德區興豐路222號
八德國中,03-3685322#510,桃園市,八德區,八德區興豐路321號
大成國小,03-3661155#510,桃園市,八德區,八德區廣福路31號
大成國中,"03-3625633#510
",桃園市,八德區,八德區忠勇街12號
大勇國小,03-3622017#510,桃園市,八德區,八德區自強街60號
大忠國小,03-3635206#510,桃園市,八德區,八德區忠誠街18號
永豐高中,(03)3789414＃510,桃園市,八德區,八德區永豐路609號
茄苳國小,(03)3611425＃510,桃園市,八德區,八德區永豐路155號
廣興國小,(03)3666007＃510,桃園市,八德區,八德區廣興路601巷25號
大安國小,(03)3661419＃511,桃園市,八德區,八德區和平路638號
瑞豐國小,(03)3682787＃510,桃園市,八德區,八德區介壽路2段933巷40號
建德公園,3683155#231,桃園市,八德區,建德路、長興路交叉口
大湳公園,3683155#231,桃園市,八德區,中路街、福國北街交叉口
蘆竹區公所三樓,03-222-0248,桃園市,蘆竹區,桃園市蘆竹區南崁里南崁路150號(3F)
蘆竹區婦幼館,03-212-2120,桃園市,蘆竹區,桃園市蘆竹區瓦窯里仁愛路一段2號(B1)
上竹市民活動中心,0932-268271,桃園市,蘆竹區,桃園市蘆竹區上竹里博愛街22號(2F)
大竹老人集會所,0921-169267,桃園市,蘆竹區,桃園市蘆竹區大竹里南竹路五段210巷1弄1號(2F)
後壁厝市民活動中心,0932-270135,桃園市,蘆竹區,桃園市蘆竹區坑口里南山北路二段378號(1F)
海湖第一市民活動中心,0937-951163,桃園市,蘆竹區,桃園市蘆竹區海湖里海湖東路217號(3F)
富竹市民活動中心,0922-339589,桃園市,蘆竹區,桃園市蘆竹區富竹里富竹街109號(3F)
新莊社區教室,0928-211477,桃園市,蘆竹區,桃園市蘆竹區新莊里中油街373號(1、2F)
營盤市民活動中心,0920-363248,桃園市,蘆竹區,桃園市蘆竹區營盤里中山路108巷21號(3F)
南崁市民活動中心,0936-376289,桃園市,蘆竹區,桃園市蘆竹區南崁里南崁路152號(2F)
宏竹市民活動中心,0913-510378,桃園市,蘆竹區,桃園市蘆竹區宏竹里宏華街10號(1、2F)
公埔市民活動中心,0972-341144,桃園市,蘆竹區,桃園市蘆竹區內厝里8鄰南山路二段394巷67號(1F)
南榮市民活動中心,0932-098061,桃園市,蘆竹區,桃園市蘆竹區南榮里桃園街9號(2F)
彎頭仔市民活動中心,0934-309931,桃園市,蘆竹區,桃園市蘆竹區山腳里18鄰山外路117號(3F)
外社市民活動中心,0936-398891,桃園市,蘆竹區,桃園市蘆竹區外社里12鄰山林路二段471號(1、2、4F)
五福市民活動中心,0919-278652,桃園市,蘆竹區,桃園市蘆竹區五福里5鄰福祿5街18號(4F)
南青市民活動中心,0911-240679,桃園市,蘆竹區,桃園市蘆竹區蘆竹里南青路850巷50號(1F)
大南興市民活動中心,0910-302243,桃園市,蘆竹區,桃園市蘆竹區順興里5鄰南昌路36號(3F)
光明市民活動中心,"0935-646329
0932-267091",桃園市,蘆竹區,桃園市蘆竹區錦興里18鄰光明路2段33號(1、2F)
興仁市民活動中心,0935-768488,桃園市,蘆竹區,桃園市蘆竹區中興里興仁路330-1號(1F)
南崁高中,3525580#515,桃園市,蘆竹區,桃園市蘆竹區仁愛路二段1號
南崁國中,3525590#510,桃園市,蘆竹區,桃園市蘆竹區五福六路1號
大竹國中,3232764#511,桃園市,蘆竹區,桃園市蘆竹區大竹路國中巷35號
光明國中,3114355#510,桃園市,蘆竹區,桃園市蘆竹區光明路一段123號
南崁國小,3115578#510,桃園市,蘆竹區,桃園市蘆竹區吉林路160號
光明國小,3127066#510,桃園市,蘆竹區,桃園市蘆竹區南昌路255號
蘆竹國小,3118786#511,桃園市,蘆竹區,桃園市蘆竹區富國路二段850號
公埔國小,3243852#511,桃園市,蘆竹區,桃園市蘆竹區南山路二段448號
錦興國小,2723067#510,桃園市,蘆竹區,桃園市蘆竹區南竹路一段100號
頂社國小,3241182#510,桃園市,蘆竹區,桃園市蘆竹區山林路三段232號
外社國小,3241874#510,桃園市,蘆竹區,桃園市蘆竹區山林路二段525號
山腳國小,3241995#511,桃園市,蘆竹區,桃園市蘆竹區南山路三段440號
山腳國中,3241995#511,桃園市,蘆竹區,桃園市蘆竹區海山路319號
海湖國小,3542181#510,桃園市,蘆竹區,桃園市蘆竹區海湖東路191巷15號
龍安國小,3922797#510,桃園市,蘆竹區,桃園市蘆竹區文中路一段35號
新興國小,3602448#510,桃園市,蘆竹區,桃園市蘆竹區新興街355號
大竹國小,3232917#510,桃園市,蘆竹區,桃園市蘆竹區大竹路556號
新莊國小,3231264#110,桃園市,蘆竹區,桃園市蘆竹區大新路380巷121號
大華國小,3232664#520,桃園市,蘆竹區,桃園市蘆竹區大華街98號
開南大學,2723067#510,桃園市,蘆竹區,桃園市蘆竹區開南路1號
光明河濱公園,03-222-0465,桃園市,蘆竹區,桃園市蘆竹區錦興里光明路二段
新屋區婦幼館,4772111#323,桃園市,新屋區,新屋區中山路370號
新屋市民活動中心,972739215,桃園市,新屋區,新屋區中山路267巷1號
九斗市民活動中心,4771728,桃園市,新屋區,新屋區長祥路1098號
下田市民活動中心,4863588,桃園市,新屋區,新屋區下田里3鄰中山西路二段780號
下埔市民活動中心,937128686,桃園市,新屋區,新屋區下埔里東興路二段1100號
大坡市民活動中心,4768915,桃園市,新屋區,新屋區5鄰三角堀5號
永安市民活動中心,4861014,桃園市,新屋區,新屋區永安里保生路55號
永興市民活動中心,937172008,桃園市,新屋區,新屋區永興里永慶一路273號
石牌市民活動中心,4862330,桃園市,新屋區,新屋區石牌里東興路二段568號
石磊市民活動中心,4771835,桃園市,新屋區,新屋區石磊里三民路二段276號
赤欄市民活動中心,0932371813,桃園市,新屋區,新屋區中山西路2段280號
東明市民活動中心,4777047,桃園市,新屋區,新屋區東明里3鄰5號
社子市民活動中心,0988808582,桃園市,新屋區,新屋區7鄰3之1號
後庄市民活動中心,4768571,桃園市,新屋區,新屋區東福路二段515號
松柏會老人文康活動中心,03-4772111#321,桃園市,新屋區,新屋區笨港里2鄰笨子港29-5號
後湖市民活動中心,4779669,桃園市,新屋區,新屋區三民路一段68號
埔頂市民活動中心,0933963500,桃園市,新屋區,新屋區埔頂路279巷50號
望間市民活動中心,927098636,桃園市,新屋區,新屋區4鄰十五間25號
深圳市民活動中心,0927406882,桃園市,新屋區,新屋區深圳里4鄰20-5號
清華市民活動中心,0933148162,桃園市,新屋區,新屋區清華里清文路229號4樓
笨港市民活動中心,4768338,桃園市,新屋區,新屋區聖賢路39號
蚵間市民活動中心,933733278,桃園市,新屋區,新屋區東福路三段476號
槺榔市民活動中心,4769366,桃園市,新屋區,新屋區8鄰9號
頭洲市民活動中心,03-4906688,桃園市,新屋區,新屋區校前路48號
